ResponseId	exp number	participant number	participant letter	age	sex	NARS_1	NARS_2	NARS_3	NARS_4	NARS_5	NARS_6	NARS_7	NARS_8	NARS_9	NARS_10	NARS_11	NARS_12	NARS_13	NARS_14	Godspeed_1	Godspeed_2	Godspeed_3	Godspeed_4	Godspeed_5	Godspeed_6	Godspeed_7	Godspeed_8	Godspeed_9	Godspeed_10	Godspeed_11	Godspeed_12	Godspeed_13	Godspeed_14	Godspeed_15	Godspeed_16	Godspeed_17	Godspeed_18	Godspeed_19	Godspeed_20	Godspeed_21	Godspeed_22	Godspeed_23	Godspeed_24	AQ_1	AQ_2	AQ_3	AQ_4	AQ_5	AQ_6	AQ_7	AQ_8	AQ_9	AQ_10	AQ_11	AQ_12	AQ_13	AQ_14	AQ_15	AQ_16	AQ_17	AQ_18	AQ_19	AQ_20	AQ_21	AQ_22	AQ_23	AQ_24	AQ_25	AQ_26	AQ_27	AQ_28	AQ_29	AQ_30	AQ_31	AQ_32	AQ_33	AQ_34	AQ_35	AQ_36	AQ_37	AQ_38	AQ_39	AQ_40	AQ_41	AQ_42	AQ_43	AQ_44	AQ_45	AQ_46	AQ_47	AQ_48	AQ_49	AQ_50	SCS_1	SCS_2	SCS_3	SCS_4	SCS_5	SCS_6	SCS_7	SCS_8	SCS_9	SCS_10	SCS_11	SCS_12	SCS_13	SCS_14
R_12suDQjlzghXkjj	4	11	C	20	male	Strongly agree	Neither agree nor disagree	Strongly agree	Disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	Disagree	Neither agree nor disagree	3	4	5	5	5	4	4	5	4	3	3	3	2	3	3	2	4	4	3	3	5	2	4	4	Strongly agree	Strongly disagree	Strongly agree	Agree	Disagree	Agree	Disagree	Disagree	Strongly disagree	Agree	Agree	Disagree	Strongly disagree	Disagree	Strongly agree	Disagree	Agree	Disagree	Agree	Disagree	Agree	Strongly disagree	Disagree	Agree	Agree	Disagree	Agree	Disagree	Agree	Disagree	Disagree	Agree	Strongly disagree	Strongly agree	Strongly disagree	Disagree	Disagree	Disagree	Strongly disagree	Agree	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Disagree	Agree	Agree	Disagree	Strongly agree	Disagree	Disagree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Agree	Strongly disagree
R_1i3RccGux9O7iKu	10	29	C	20	female	Disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Strongly agree	Disagree	Strongly agree	Neither agree nor disagree	Disagree	Strongly agree	2	5	2	5	4	4	3	5	5	1	1	2	3	3	2	2	3	3	3	2	3	2	4	4	Agree	Disagree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Strongly agree	Agree	Disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Disagree	Disagree	Strongly disagree	Strongly agree	Disagree	Disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly agree	Disagree	Strongly disagree	Strongly agree	Strongly agree	Disagree	Agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Disagree	Agree	Disagree	Strongly disagree	Strongly disagree	Agree	Agree
R_1IuvOqu7I41X477	6	17	C	30	male	Strongly agree	Neither agree nor disagree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	3	5	5	4	2	4	3	4	5	2	2	2	3	2	2	3	3	4	3	4	3	1	5	5	Strongly agree	Disagree	Strongly agree	Agree	Disagree	Agree	Strongly disagree	Agree	Strongly disagree	Disagree	Strongly agree	Agree	Strongly disagree	Disagree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Disagree	Strongly agree	Strongly agree	Disagree	Strongly agree	Strongly agree	Strongly disagree	Agree	Strongly agree	Strongly agree	Disagree	Agree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Disagree	Strongly agree	Strongly agree	Disagree	Disagree	Strongly agree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Disagree	Disagree	Strongly disagree	Agree	Strongly disagree	Disagree	Agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree
R_1QEhot2CvkPPfMI	7	19	A	34	male	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	3	2	3	3	4	4	4	4	4	4	3	3	3	3	3	3	3	3	4	4	4	3	4	3	Agree	Disagree	Agree	Disagree	Disagree	Agree	Disagree	Agree	Agree	Disagree	Agree	Agree	Disagree	Agree	Agree	Agree	Agree	Disagree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Disagree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Agree	Disagree	Agree	Disagree	Agree	Disagree	Agree	Agree	Disagree	Agree	Agree	Disagree	Disagree	Agree	Agree	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Agree	Agree	Agree
R_20TII8iyJJ3boxr	6	19	D	34	male	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	3	5	4	4	5	4	4	4	4	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	Strongly agree	Strongly disagree	Agree	Agree	Agree	Disagree	Disagree	Agree	Strongly disagree	Agree	Agree	Agree	Strongly disagree	Agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Disagree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Disagree	Agree	Agree	Strongly disagree	Disagree	Agree	Disagree	Strongly disagree	Agree	Strongly disagree	Agree	Strongly agree	Agree	Strongly disagree	Agree	Strongly disagree	Disagree	Agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Strongly disagree	Disagree	Agree	Strongly agree	Agree	Disagree	Agree	Agree	Agree	Disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Disagree	Strongly disagree
R_2474LG9bjP50YaP	3	7	A	20	female	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	2	2	2	2	4	3	2	4	2	2	2	1	1	1	1	1	1	1	2	1	1	1	5	4	Disagree	Agree	Disagree	Strongly agree	Strongly agree	Agree	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	Strongly agree	Disagree	Disagree	Disagree	Strongly disagree	Disagree	Disagree	Agree	Disagree	Agree	Disagree	Agree	Agree	Disagree	Disagree	Disagree	Disagree	Strongly agree	Agree	Disagree	Agree	Agree	Agree	Strongly disagree	Disagree	Strongly disagree	Disagree	Agree	Agree	Strongly agree	Agree	Disagree	Strongly disagree	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Agree	Agree	Agree	Agree
R_29dmoAI4d7o6RpJ	5	13	A	20	male	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly agree	Disagree	Disagree	Disagree	Neither agree nor disagree	Disagree	Disagree	Strongly agree	2	3	1	2	2	3	2	3	3	1	2	2	2	2	3	1	2	1	3	2	1	2	4	4	Disagree	Disagree	Agree	Disagree	Disagree	Disagree	Strongly agree	Strongly agree	Agree	Disagree	Disagree	Strongly agree	Agree	Agree	Strongly agree	Agree	Disagree	Disagree	Strongly agree	Strongly disagree	Disagree	Agree	Strongly agree	Disagree	Strongly agree	Strongly agree	Disagree	Disagree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Agree	Strongly agree	Disagree	Disagree	Disagree	Agree	Strongly agree	Agree	Agree	Agree	Strongly disagree	Agree	Disagree	Strongly disagree	Disagree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Strongly disagree	Strongly disagree	Agree	Agree	Agree
R_2CBXtH7Y0wEhMPF	6	16	A	31	male	Strongly agree	Strongly agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Strongly agree	4	4	4	5	5	5	4	5	5	3	3	3	2	2	2	2	4	4	4	3	3	1	5	5	Strongly agree	Disagree	Agree	Disagree	Agree	Disagree	Strongly disagree	Agree	Strongly disagree	Agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Strongly agree	Agree	Agree	Disagree	Strongly agree	Strongly disagree	Agree	Strongly agree	Agree	Strongly disagree	Strongly agree	Agree	Strongly agree	Disagree	Agree	Agree	Strongly disagree	Strongly agree	Disagree	Strongly agree	Agree	Strongly agree	Agree	Disagree	Disagree	Agree	Disagree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Agree	Agree	Agree
R_2Cku45NbCoRG4Lr	8	22	A	21	male	Neither agree nor disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Disagree	Strongly agree	2	2	5	3	2	2	2	2	2	4	5	3	3	5	5	5	1	2	3	2	4	1	5	4	Disagree	Strongly agree	Disagree	Strongly agree	Agree	Agree	Strongly disagree	Agree	Strongly disagree	Strongly disagree	Disagree	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Strongly disagree	Disagree	Strongly disagree	Disagree	Strongly disagree	Agree	Disagree	Disagree	Strongly disagree	Strongly agree	Agree	Strongly disagree	Disagree	Agree	Agree	Strongly disagree	Agree	Strongly disagree	Strongly agree	Agree	Agree	Disagree	Strongly agree	Agree	Strongly disagree	Strongly agree	Strongly agree	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Disagree	Agree	Agree	Strongly agree
R_2OJYwMUFzdoVrnz	11	32	C	30	female	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	3	2	4	4	2	2	2	3	2	1	1	3	2	2	2	2	2	4	5	4	4	2	4	4	Strongly agree	Disagree	Strongly agree	Agree	Agree	Disagree	Strongly disagree	Strongly agree	Strongly disagree	Disagree	Agree	Agree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Agree	Strongly disagree	Disagree	Disagree	Disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Strongly agree	Disagree	Disagree	Strongly agree	Agree	Strongly agree	Disagree	Agree	Strongly disagree	Agree	Disagree	Disagree	Disagree	Strongly agree	Strongly disagree	Disagree	Agree	Agree	Strongly agree	Disagree	Agree	Agree	Agree	Agree	Agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Disagree
R_2SB2cYQ33Toeb5e	7	20	C	36	male	Neither agree nor disagree	Strongly agree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Disagree	Disagree	Disagree	Neither agree nor disagree	Disagree	Disagree	Strongly agree	2	4	3	4	2	3	4	4	4	2	2	2	1	3	1	1	3	2	3	3	4	2	4	4	Agree	Strongly agree	Strongly agree	Disagree	Disagree	Agree	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Disagree	Disagree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Strongly agree	Strongly disagree	Agree	Disagree	Strongly agree	Agree	Disagree	Agree	Agree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Strongly disagree	Agree	Strongly disagree	Strongly agree	Agree	Strongly agree	Strongly disagree	Strongly disagree	Disagree	Disagree	Strongly agree	Agree	Strongly disagree	Disagree	Disagree	Strongly agree	Strongly disagree	Agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree
R_2TWWn3yea41tmwI	8	23	C	26	female	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	Disagree	Strongly agree	2	4	5	5	5	4	2	5	5	2	2	2	2	2	2	2	1	2	5	5	5	1	5	5	Disagree	Strongly agree	Disagree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Strongly agree	Strongly disagree	Strongly agree	Agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Disagree	Disagree	Disagree	Strongly disagree	Disagree	Disagree	Agree	Agree	Strongly disagree	Disagree	Strongly agree	Disagree	Disagree	Strongly disagree	Strongly agree	Disagree	Strongly disagree	Disagree	Disagree	Strongly agree	Strongly agree	Disagree	Strongly disagree	Agree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Disagree	Agree	Agree	Strongly disagree	Agree	Strongly disagree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Strongly disagree
R_2WO0uyNpcpunEji	9	27	D	19	female	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	3	5	5	4	4	3	2	5	5	2	2	3	3	4	2	2	2	3	3	2	4	3	4	4	Agree	Disagree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Strongly disagree	Agree	Strongly agree	Agree	Strongly agree	Disagree	Strongly agree	Agree	Agree	Disagree	Strongly disagree	Strongly disagree	Disagree	Strongly disagree	Agree	Agree	Agree	Strongly disagree	Agree	Disagree	Disagree	Strongly disagree	Agree	Disagree	Strongly disagree	Agree	Strongly disagree	Strongly agree	Disagree	Strongly agree	Disagree	Agree	Disagree	Strongly disagree	Disagree	Strongly agree	Disagree	Disagree	Strongly agree	Strongly agree	Disagree	Disagree	Agree	Agree	Agree	Disagree	Agree	Disagree	Agree	Agree	Strongly disagree	Agree	Strongly disagree	Disagree	Agree	Disagree
R_2ypE0fIv7z3wUX9	1	1	A	41	female	Strongly agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	3	2	3	2	5	4	2	5	4	3	2	2	3	2	2	2	3	2	2	3	4	2	2	4	Agree	Strongly agree	Agree	Strongly agree	Agree	Disagree	Strongly disagree	Strongly agree	Strongly disagree	Agree	Agree	Agree	Disagree	Agree	Strongly agree	Agree	Agree	Disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	Agree	Strongly agree	Agree	Agree	Disagree	Agree	Disagree	Agree	Agree	Agree	Disagree	Disagree	Strongly agree	Agree	Disagree	Agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Agree	Agree	Agree
R_2zebIlTnBl8zDgy	11	33	D	31	female	Neither agree nor disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	3	3	4	4	3	2	3	4	4	2	3	3	2	2	2	3	3	2	3	3	4	1	5	4	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Strongly disagree	Agree	Strongly disagree	Agree	Disagree	Strongly agree	Strongly disagree	Agree	Strongly agree	Agree	Strongly disagree	Agree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Agree	Agree	Strongly disagree	Agree	Agree	Disagree	Disagree	Strongly disagree	Strongly agree	Disagree	Disagree	Disagree	Strongly disagree	Strongly agree	Disagree	Disagree	Agree	Strongly agree	Disagree	Agree	Strongly agree	Agree	Strongly disagree	Strongly agree	Strongly disagree	Agree	Strongly disagree	Agree	Disagree	Disagree	Disagree	Disagree	Agree	Agree	Agree	Strongly agree	Agree	Disagree	Strongly disagree	Strongly agree	Agree	Disagree
R_3ek57205wjrVoZK	1	3	D	24	male	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Disagree	Disagree	Disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	2	3	2	1	1	2	2	3	2	1	1	1	2	2	2	1	2	2	1	1	4	1	5	3	Agree	Agree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Strongly disagree	Strongly agree	Strongly agree	Agree	Strongly disagree	Agree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Disagree	Strongly agree	Agree	Disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly disagree	Agree	Strongly disagree	Strongly agree	Agree	Strongly agree	Strongly disagree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Strongly agree	Disagree	Disagree	Agree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree
